,0
1510,3
1511,0
1512,6
1513,2
1514,1
1515,1
1516,2
1517,2
1518,2
1519,0
1520,4
1521,0
1522,2
1523,1
1524,6
1525,1
1526,2
1527,3
1528,1
1529,0
1530,5
1531,8
1532,1
1533,2
1534,1
1535,0
1536,1
1537,2
1538,1
1539,0
1540,1
1541,1
1542,2
1543,4
1544,4
1545,3
1546,4
1547,1
1548,0
1549,1
1550,2
1551,0
1552,0
1553,0
1554,1
1555,1
1556,0
1557,2
1558,1
1559,2
1560,0
1561,1
1562,1
1563,2
1564,0
1565,1
1566,2
1567,2
1568,1
1569,8
1570,3
1571,0
1572,2
1573,2
1574,3
1575,2
1576,2
1577,1
1578,1
1579,1
1580,0
1581,0
1582,0
1583,0
1584,1
1585,0
1586,2
1587,1
1588,3
1589,2
1590,0
1591,1
1592,0
1593,0
1594,1
1595,2
1596,1
1597,0
1598,3
1599,0
1600,3
1601,0
1602,1
1603,4
1604,3
1605,1
1606,1
1607,1
1608,0
1609,1
1610,1
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,1
1618,1
1619,0
1620,4
1621,1
1622,3
1623,2
1624,0
1625,3
1626,1
1627,1
1628,2
1629,1
1630,2
1631,2
1632,1
1633,2
1634,2
1635,2
1636,0
1637,0
1638,0
1639,0
1640,1
1641,1
1642,0
1643,2
1644,2
1645,7
1646,2
1647,0
1648,4
1649,3
1650,4
1651,1
1652,0
1653,9
1654,2
1655,2
1656,1
1657,9
1658,1
1659,2
1660,0
1661,9
1662,3
1663,1
1664,1
1665,6
1666,2
1667,3
1668,0
1669,1
1670,2
1671,1
1672,2
1673,2
1674,1
1675,1
1676,1
1677,0
1678,1
1679,5
1680,4
1681,1
1682,4
1683,0
1684,4
1685,1
1686,1
1687,8
1688,3
1689,1
1690,1
1691,1
1692,1
1693,0
1694,3
1695,2
1696,2
1697,0
1698,1
1699,2
1700,1
1701,1
1702,8
1703,0
1704,1
1705,2
1706,0
1707,0
1708,3
1709,1
1710,0
1711,0
1712,2
1713,8
1714,3
1715,1
1716,2
1717,3
1718,1
1719,4
1720,1
1721,2
1722,0
1723,2
1724,1
1725,2
1726,0
1727,3
1728,2
1729,3
1730,0
1731,8
1732,0
1733,2
1734,2
1735,0
1736,1
1737,0
1738,2
1739,1
1740,4
1741,1
1742,0
1743,1
1744,1
1745,0
1746,2
1747,3
1748,1
1749,2
1750,4
1751,0
1752,1
1753,1
1754,0
1755,2
1756,7
1757,0
1758,2
1759,0
1760,1
1761,0
1762,1
1763,1
1764,1
1765,3
1766,0
1767,0
1768,0
1769,0
1770,1
1771,2
1772,3
1773,2
1774,2
1775,2
1776,2
1777,0
1778,2
1779,2
1780,5
1781,0
1782,0
1783,1
1784,0
1785,2
1786,1
1787,1
1788,4
1789,2
1790,0
1791,1
1792,3
1793,4
1794,0
1795,2
1796,2
1797,2
1798,5
1799,0
1800,3
1801,2
1802,8
1803,0
1804,1
1805,2
1806,0
1807,8
1808,1
1809,0
1810,1
1811,1
1812,0
1813,1
1814,6
1815,0
1816,0
1817,1
1818,0
1819,0
1820,0
1821,0
1822,1
1823,0
1824,0
1825,4
1826,1
1827,2
1828,2
1829,0
1830,1
1831,1
1832,2
1833,0
1834,2
1835,1
1836,1
1837,3
1838,1
1839,2
1840,3
1841,1
1842,3
1843,3
1844,0
1845,1
1846,2
1847,1
1848,4
1849,2
1850,1
1851,2
1852,2
1853,1
1854,0
1855,5
1856,1
1857,2
1858,3
1859,2
1860,1
1861,2
1862,0
1863,5
1864,2
1865,3
1866,6
1867,7
1868,2
1869,2
1870,2
1871,2
1872,1
1873,1
1874,1
1875,0
1876,2
1877,2
1878,1
1879,6
1880,0
1881,5
1882,0
1883,4
1884,2
1885,0
1886,1
1887,0
1888,1
1889,1
1890,3
1891,2
1892,3
1893,0
1894,1
1895,4
1896,2
1897,2
1898,1
1899,0
1900,1
1901,1
1902,6
1903,0
1904,4
1905,1
1906,1
1907,2
1908,2
1909,0
1910,2
1911,0
1912,0
1913,4
1914,2
1915,0
1916,1
1917,1
1918,2
1919,0
1920,0
1921,6
1922,2
1923,0
1924,9
1925,0
1926,2
1927,0
1928,2
1929,1
1930,0
1931,2
1932,2
1933,2
1934,0
1935,3
1936,0
1937,8
1938,0
1939,2
1940,2
1941,0
1942,2
1943,2
1944,1
1945,3
1946,0
1947,0
1948,0
1949,1
1950,5
1951,1
1952,1
1953,0
1954,4
1955,2
1956,1
1957,3
1958,1
1959,8
1960,8
1961,7
1962,1
1963,4
1964,5
1965,0
1966,1
1967,1
1968,0
1969,0
1970,0
1971,0
1972,1
1973,2
1974,0
1975,1
1976,1
1977,2
1978,0
1979,0
1980,4
1981,1
1982,3
1983,2
1984,1
1985,3
1986,0
1987,3
1988,2
1989,2
1990,0
1991,5
1992,0
1993,7
1994,1
1995,4
1996,2
1997,0
1998,0
1999,2
2000,4
2001,2
2002,2
2003,3
2004,0
2005,0
2006,1
2007,1
2008,2
2009,0
2010,0
2011,2
2012,1
2013,1
2014,1
2015,5
2016,1
2017,2
2018,0
2019,0
2020,2
2021,2
2022,0
2023,2
2024,3
2025,1
2026,0
2027,1
2028,1
2029,1
2030,3
2031,2
2032,2
2033,0
2034,1
2035,2
2036,0
2037,7
2038,1
2039,2
2040,0
2041,4
2042,0
2043,2
2044,2
2045,2
2046,2
2047,1
2048,5
2049,1
2050,2
2051,2
2052,2
2053,3
2054,0
2055,0
2056,3
2057,2
2058,1
2059,0
2060,2
2061,2
2062,1
2063,2
2064,2
2065,1
2066,1
2067,0
2068,0
2069,1
2070,0
2071,1
2072,2
2073,0
2074,0
2075,1
2076,1
2077,1
2078,2
2079,0
2080,0
2081,0
2082,2
2083,1
2084,0
2085,2
2086,0
2087,2
2088,4
2089,1
2090,1
2091,1
2092,1
2093,3
2094,2
2095,5
2096,1
2097,1
2098,2
2099,0
2100,4
2101,0
2102,0
2103,1
2104,0
2105,2
2106,4
2107,6
2108,1
2109,0
2110,2
2111,0
2112,2
2113,0
2114,4
2115,1
2116,2
2117,1
2118,2
2119,2
2120,1
2121,1
2122,1
2123,1
2124,3
2125,1
2126,1
2127,2
2128,1
2129,2
2130,1
2131,3
2132,1
2133,2
2134,0
2135,0
2136,4
2137,1
2138,1
2139,2
2140,1
2141,1
2142,8
2143,3
2144,1
2145,2
2146,2
2147,1
2148,2
2149,0
2150,7
2151,3
2152,0
2153,6
2154,2
2155,0
2156,2
2157,1
2158,1
2159,2
2160,1
2161,0
2162,3
2163,2
2164,3
2165,2
2166,4
2167,1
2168,1
2169,2
2170,2
2171,1
2172,2
2173,2
2174,4
2175,1
2176,0
2177,3
2178,2
2179,2
2180,0
2181,0
2182,0
2183,4
2184,2
2185,0
2186,0
2187,4
2188,2
2189,3
2190,0
2191,1
2192,2
2193,0
2194,1
2195,4
2196,1
2197,1
2198,1
2199,1
2200,4
2201,0
2202,0
2203,0
2204,0
2205,2
2206,2
2207,0
2208,2
2209,0
2210,1
2211,0
2212,1
2213,1
2214,4
2215,3
2216,4
2217,2
2218,2
2219,2
2220,2
2221,1
2222,2
2223,5
2224,1
2225,0
2226,2
2227,1
2228,3
2229,3
2230,4
2231,2
2232,4
2233,1
2234,2
2235,2
2236,2
2237,4
2238,1
2239,2
2240,0
2241,6
2242,1
2243,1
2244,1
2245,2
2246,1
2247,2
2248,1
2249,2
2250,1
2251,2
2252,1
2253,2
2254,2
2255,2
2256,4
2257,1
2258,1
2259,4
2260,3
2261,2
2262,2
2263,1
2264,2
2265,1
2266,3
2267,1
2268,2
2269,3
2270,1
2271,2
2272,3
2273,2
2274,3
2275,2
2276,3
2277,1
2278,2
2279,2
2280,2
2281,1
2282,3
2283,3
2284,3
2285,1
2286,1
2287,3
2288,0
2289,3
2290,2
2291,3
2292,2
2293,1
2294,2
2295,1
2296,2
2297,0
2298,1
2299,0
2300,1
2301,0
2302,3
2303,0
2304,1
2305,4
2306,3
2307,2
2308,0
2309,2
2310,2
2311,4
2312,4
2313,0
2314,1
2315,4
2316,0
2317,0
2318,0
2319,1
2320,1
2321,1
2322,3
2323,3
2324,1
2325,2
2326,1
2327,2
2328,3
2329,1
2330,0
2331,1
2332,0
2333,0
2334,2
2335,1
2336,0
2337,0
2338,2
2339,4
2340,0
2341,9
2342,1
2343,0
2344,0
2345,0
2346,1
2347,2
2348,1
2349,3
2350,5
2351,3
2352,1
2353,5
2354,1
2355,1
2356,1
2357,0
2358,1
2359,1
2360,2
2361,2
2362,3
2363,0
2364,1
2365,0
2366,4
2367,0
2368,1
2369,0
2370,2
2371,1
2372,3
2373,3
2374,3
2375,1
2376,1
2377,6
2378,4
2379,1
2380,1
2381,0
2382,3
2383,4
2384,1
2385,2
2386,0
2387,1
2388,3
2389,3
2390,2
2391,1
2392,2
2393,3
2394,1
2395,0
2396,1
2397,0
2398,0
2399,3
2400,0
2401,1
2402,1
2403,2
2404,5
2405,0
2406,0
2407,0
2408,2
2409,0
2410,3
2411,0
2412,1
2413,0
2414,1
2415,1
2416,0
2417,1
2418,2
2419,1
2420,2
2421,1
2422,1
2423,1
2424,0
2425,1
2426,1
2427,1
2428,1
2429,1
2430,2
2431,1
2432,2
2433,3
2434,4
2435,0
2436,1
2437,1
2438,3
2439,0
2440,3
2441,1
2442,2
2443,0
2444,4
2445,1
2446,1
2447,3
2448,0
2449,1
2450,5
2451,6
2452,0
2453,0
2454,1
2455,2
2456,1
2457,0
2458,1
2459,9
2460,0
2461,3
2462,3
2463,2
2464,4
2465,0
2466,1
2467,3
2468,3
2469,1
2470,1
2471,0
2472,0
2473,0
2474,0
2475,3
2476,4
2477,4
2478,3
2479,0
2480,2
2481,2
2482,7
2483,2
2484,1
2485,1
2486,1
2487,0
2488,1
2489,0
2490,0
2491,4
2492,1
2493,2
2494,1
2495,2
2496,0
2497,1
2498,0
2499,2
2500,3
2501,3
2502,0
2503,0
2504,0
2505,0
2506,0
2507,1
2508,0
2509,6
2510,2
2511,3
2512,2
2513,0
2514,0
2515,5
2516,1
2517,1
2518,0
2519,3
2520,0
2521,2
2522,0
2523,5
2524,1
2525,1
2526,1
2527,1
2528,0
2529,3
2530,0
2531,0
2532,4
2533,1
2534,0
2535,0
2536,1
2537,0
2538,0
2539,1
2540,1
2541,4
2542,1
2543,5
2544,0
2545,0
2546,1
2547,2
2548,0
2549,1
2550,1
2551,1
2552,1
2553,1
2554,1
2555,4
2556,0
2557,1
2558,4
2559,0
2560,1
2561,1
2562,0
